Uniprot Accession	Gene	Description	Peptides used for quantitation	Confidence score	Molecular weight (Da)	LB
P23917	mak	Fructokinase OS=Escherichia coli (strain K12) GN=mak PE=1 SV=2	5	380.03	32461.33074	268
P0A6U5	rsmG	Ribosomal RNA small subunit methyltransferase G OS=Escherichia coli (strain K12) GN=rsmG PE=1 SV=1	5	197.39	23398.35848	716
P75849	ycbL	Uncharacterized protein ycbL OS=Escherichia coli (strain K12) GN=ycbL PE=3 SV=1	5	291.86	23750.94389	732
P69506	ytfE	Iron-sulfur cluster repair protein YtfE OS=Escherichia coli (strain K12) GN=ytfE PE=1 SV=1	5	303.23	24848.55698	70
P0AGB6	rpoE	RNA polymerase sigma-E factor OS=Escherichia coli (strain K12) GN=rpoE PE=1 SV=1	5	320.17	21664.26101	565
P0ABQ4	folA	Dihydrofolate reductase OS=Escherichia coli (strain K12) GN=folA PE=1 SV=1	5	264.31	17969.89353	571
P33362	osmF	Putative osmoprotectant uptake system substrate-binding protein osmF OS=Escherichia coli (strain K12) GN=osmF PE=2 SV=1	5	319.85	32571.10535	76
P31455	yidR	Uncharacterized protein YidR OS=Escherichia coli (strain K12) GN=yidR PE=4 SV=4	5	216.13	46139.8176	63
P0A7F9	queA	S-adenosylmethionine:tRNA ribosyltransferase-isomerase OS=Escherichia coli (strain K12) GN=queA PE=1 SV=1	5	221.09	39388.02367	893
P04982	rbsD	D-ribose pyranase OS=Escherichia coli (strain K12) GN=rbsD PE=1 SV=3	5	304.55	15264.79589	701
P21363	yciE	Protein yciE OS=Escherichia coli (strain K12) GN=yciE PE=1 SV=1	5	181.98	18931.47424	177
P0A8D6	ymdB	UPF0189 protein ymdB OS=Escherichia coli (strain K12) GN=ymdB PE=1 SV=1	5	245.81	18850.61192	73
P76346	mtfA	Protein mtfA OS=Escherichia coli (strain K12) GN=mtfA PE=1 SV=2	5	307.81	30242.07969	790
P75777	ybhG	UPF0194 membrane protein ybhG OS=Escherichia coli (strain K12) GN=ybhG PE=3 SV=1	5	307.24	36375.63323	173
P76235	yeaH	UPF0229 protein yeaH OS=Escherichia coli (strain K12) GN=yeaH PE=3 SV=1	5	287.33	49343.80506	29
P28861	fpr	Ferredoxin--NADP reductase OS=Escherichia coli (strain K12) GN=fpr PE=1 SV=4	5	195.94	27715.30712	194
P0A8Y3	yihX	Phosphatase yihX OS=Escherichia coli (strain K12) GN=yihX PE=1 SV=1	5	334.88	22699.37437	331
P36680	zapD	UPF0289 protein yacF OS=Escherichia coli (strain K12) GN=yacF PE=3 SV=2	5	243.4	28255.84769	554
P0AC47	frdB	Fumarate reductase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=frdB PE=1 SV=2	5	250.45	27087.16048	592
P39830	ybaL	Inner membrane protein ybaL OS=Escherichia coli (strain K12) GN=ybaL PE=1 SV=2	5	282.63	59367.2376	195
P0A7A5	pcm	Protein-L-isoaspartate O-methyltransferase OS=Escherichia coli (strain K12) GN=pcm PE=1 SV=2	5	423.67	23225.31917	255
P62615	ispE	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase OS=Escherichia coli (strain K12) GN=ispE PE=1 SV=1	5	238.05	30887.82837	161
P76004	ycgM	Uncharacterized protein ycgM OS=Escherichia coli (strain K12) GN=ycgM PE=1 SV=1	5	200.78	23678.10998	101
P32157	yiiM	Protein yiiM OS=Escherichia coli (strain K12) GN=yiiM PE=1 SV=2	5	333.07	25308.67636	67
P0ACN4	allR	HTH-type transcriptional repressor AllR OS=Escherichia coli (strain K12) GN=allR PE=1 SV=1	5	243.93	29233.2666	179
P06992	rsmA	Ribosomal RNA small subunit methyltransferase A OS=Escherichia coli (strain K12) GN=rsmA PE=1 SV=1	5	414.87	30382.61031	451
P0AG00	wzzE	Lipopolysaccharide biosynthesis protein wzzE OS=Escherichia coli (strain K12) GN=wzzE PE=1 SV=2	5	340.45	39445.94306	300
P32664	nudC	NADH pyrophosphatase OS=Escherichia coli (strain K12) GN=nudC PE=1 SV=2	5	201.46	29651.80095	133
P15038	helD	Helicase IV OS=Escherichia coli (strain K12) GN=helD PE=1 SV=2	5	224.88	77909.49086	61
P77756	queC	7-cyano-7-deazaguanine synthase OS=Escherichia coli (strain K12) GN=queC PE=1 SV=1	5	287.42	25479.74638	551
P75867	ycbZ	Putative Lon protease homolog OS=Escherichia coli (strain K12) GN=ycbZ PE=3 SV=1	5	197.76	65759.22598	106
P64455	ydcY	Uncharacterized protein ydcY OS=Escherichia coli (strain K12) GN=ydcY PE=4 SV=1	5	243.65	8776.45239	533
P12998	bioF	8-amino-7-oxononanoate synthase OS=Escherichia coli (strain K12) GN=bioF PE=1 SV=1	5	254.56	41550.25394	98
P0AFF2	nupC	Nucleoside permease nupC OS=Escherichia coli (strain K12) GN=nupC PE=1 SV=1	5	203.79	43429.29651	682
P31473	ravA	ATPase ravA OS=Escherichia coli (strain K12) GN=ravA PE=1 SV=2	5	307.95	56335.57098	59
P07109	hisP	Histidine transport ATP-binding protein HisP OS=Escherichia coli (strain K12) GN=hisP PE=1 SV=2	5	312.02	28617.07416	26
P0ADS9	yggN	Uncharacterized protein yggN OS=Escherichia coli (strain K12) GN=yggN PE=4 SV=1	5	230.55	26394.56679	314
P0AFX9	rseB	Sigma-E factor regulatory protein rseB OS=Escherichia coli (strain K12) GN=rseB PE=1 SV=1	5	193.29	35709.28651	100
P0C054	ibpA	Small heat shock protein ibpA OS=Escherichia coli (strain K12) GN=ibpA PE=1 SV=1	5	284.87	15746.08541	2639
P17443	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase OS=Escherichia coli (strain K12) GN=murG PE=1 SV=3	5	271.28	37772.88165	133
P27829	wecC	UDP-N-acetyl-D-mannosamine dehydrogenase OS=Escherichia coli (strain K12) GN=wecC PE=3 SV=4	5	214.83	45791.59224	336
P0AEE3	degS	Protease degS OS=Escherichia coli (strain K12) GN=degS PE=1 SV=1	5	239.84	37539.88162	44
P04994	xseA	Exodeoxyribonuclease 7 large subunit OS=Escherichia coli (strain K12) GN=xseA PE=1 SV=2	5	262.16	51782.2337	35
P0AD27	yejM	Inner membrane protein yejM OS=Escherichia coli (strain K12) GN=yejM PE=1 SV=1	5	310.36	67235.66157	46
P37643	yhjE	Inner membrane metabolite transport protein yhjE OS=Escherichia coli (strain K12) GN=yhjE PE=1 SV=1	5	442.67	47159.43524	92
P0A9L5	ppiC	Peptidyl-prolyl cis-trans isomerase C OS=Escherichia coli (strain K12) GN=ppiC PE=1 SV=2	5	189.55	10207.4459	1976
P75830	macA	Macrolide-specific efflux protein macA OS=Escherichia coli (strain K12) GN=macA PE=1 SV=2	5	247.39	40580.94339	26
P0A830	dctA	Aerobic C4-dicarboxylate transport protein OS=Escherichia coli (strain K12) GN=dctA PE=1 SV=1	5	231.11	45388.7442	623
P0AFX4	rsd	Regulator of sigma D OS=Escherichia coli (strain K12) GN=rsd PE=1 SV=1	5	361.99	18213.43979	370
P32131	hemN	Oxygen-independent coproporphyrinogen-III oxidase OS=Escherichia coli (strain K12) GN=hemN PE=1 SV=4	5	349.43	52677.67322	139
P45800	yrfF	Putative membrane protein igaA homolog OS=Escherichia coli (strain K12) GN=yrfF PE=1 SV=1	5	236.01	79421.84741	70
P0CB39	eptC	Phosphoethanolamine transferase CptA OS=Escherichia coli (strain K12) GN=cptA PE=1 SV=1	5	155.07	66549.84405	54
P0AD10	yecJ	Uncharacterized protein yecJ OS=Escherichia coli (strain K12) GN=yecJ PE=4 SV=1	5	328.61	9098.77479	956
P0ACB4	hemG	Protoporphyrinogen IX dehydrogenase [menaquinone] OS=Escherichia coli (strain K12) GN=hemG PE=1 SV=1	5	283.55	21194.86359	250
P37751	wbbK	Uncharacterized protein yefI OS=Escherichia coli (strain K12) GN=yefI PE=4 SV=1	5	209.13	43142.63685	178
P64554	queE	7-carboxy-7-deazaguanine synthase homolog OS=Escherichia coli (strain K12) GN=ygcF PE=1 SV=1	5	392.67	24995.63713	620
P0AE22	aphA	Class B acid phosphatase OS=Escherichia coli (strain K12) GN=aphA PE=1 SV=1	5	256.75	26069.23615	1679
P20083	parE	DNA topoisomerase 4 subunit B OS=Escherichia coli (strain K12) GN=parE PE=1 SV=3	5	317.47	70181.74399	100
P32680	yjaG	Uncharacterized protein yjaG OS=Escherichia coli (strain K12) GN=yjaG PE=4 SV=1	5	256.75	22580.06443	165
P28249	asmA	Protein AsmA OS=Escherichia coli (strain K12) GN=asmA PE=4 SV=2	5	159.69	68902.09792	41
P10902	nadB	L-aspartate oxidase OS=Escherichia coli (strain K12) GN=nadB PE=1 SV=4	5	215.98	60281.35972	9
P31802	narP	Nitrate/nitrite response regulator protein narP OS=Escherichia coli (strain K12) GN=narP PE=3 SV=1	5	323.85	23542.38514	816
Q5H772	puuE	Gamma-aminobutyrate aminotransferase OS=Escherichia coli (strain K12) GN=puuE PE=3 SV=1	5	253.86	44682.75437	8
P39452	nrdE	Ribonucleoside-diphosphate reductase 2 subunit alpha OS=Escherichia coli (strain K12) GN=nrdE PE=3 SV=3	5	199.35	80410.27706	8
P05637	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] OS=Escherichia coli (strain K12) GN=apaH PE=1 SV=2	5	276.12	31258.68847	92
P12295	ung	Uracil-DNA glycosylase OS=Escherichia coli (strain K12) GN=ung PE=1 SV=2	5	243.27	25659.18035	194
P76272	yebT	Uncharacterized protein yebT OS=Escherichia coli (strain K12) GN=yebT PE=1 SV=2	5	289.93	94893.78059	20
P76535	murQ	N-acetylmuramic acid 6-phosphate etherase OS=Escherichia coli (strain K12) GN=murQ PE=1 SV=1	5	464.48	31182.14441	417
P27303	emrA	Multidrug resistance protein A OS=Escherichia coli (strain K12) GN=emrA PE=3 SV=2	5	260.62	42691.61954	139
P28903	nrdD	Anaerobic ribonucleoside-triphosphate reductase OS=Escherichia coli (strain K12) GN=nrdD PE=1 SV=2	5	253.69	79954.12102	52
P27830	rffG	dTDP-glucose 4,6-dehydratase 2 OS=Escherichia coli (strain K12) GN=rffG PE=1 SV=3	5	332.15	39710.89535	143
P22524	mukE	Chromosome partition protein mukE OS=Escherichia coli (strain K12) GN=mukE PE=1 SV=5	5	288.07	26939.5778	683
P10441	lpxB	Lipid-A-disaccharide synthase OS=Escherichia coli (strain K12) GN=lpxB PE=1 SV=2	5	111.05	42337.17116	64
P20099	bisC	Biotin sulfoxide reductase OS=Escherichia coli (strain K12) GN=bisC PE=3 SV=3	5	262.53	85778.27471	14
P45395	kdsD	Arabinose 5-phosphate isomerase OS=Escherichia coli (strain K12) GN=kdsD PE=1 SV=1	5	276.66	35155.07892	159
P75791	ybiU	Uncharacterized protein ybiU OS=Escherichia coli (strain K12) GN=ybiU PE=1 SV=1	5	261.68	47281.55224	46
P33030	yeiR	Uncharacterized protein YeiR OS=Escherichia coli (strain K12) GN=yeiR PE=3 SV=2	5	286.59	36072.87079	92
P77569	mhpR	Mhp operon transcriptional activator OS=Escherichia coli (strain K12) GN=mhpR PE=4 SV=2	5	300.35	31284.44117	128
P0AE85	cpxP	Periplasmic protein CpxP OS=Escherichia coli (strain K12) GN=cpxP PE=1 SV=1	5	249.98	18935.33096	126
P24188	yceA	UPF0176 protein yceA OS=Escherichia coli (strain K12) GN=yceA PE=2 SV=2	5	213.15	39737.51048	38
P18775	dmsA	Anaerobic dimethyl sulfoxide reductase chain A OS=Escherichia coli (strain K12) GN=dmsA PE=1 SV=2	5	293.36	90323.09785	9
P39265	alsB	D-allose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=alsB PE=1 SV=1	5	234.48	32871.13079	173
P0AAH0	pstB	Phosphate import ATP-binding protein PstB OS=Escherichia coli (strain K12) GN=pstB PE=1 SV=2	5	284.7	28990.77068	183
P0ACE3	hha	Hemolysin expression-modulating protein OS=Escherichia coli (strain K12) GN=hha PE=1 SV=1	5	245.15	8604.45853	237
P37617	zntA	Lead, cadmium, zinc and mercury-transporting ATPase OS=Escherichia coli (strain K12) GN=zntA PE=1 SV=1	5	266.38	76773.84377	77
P0AFB5	glnL	Nitrogen regulation protein NR(II) OS=Escherichia coli (strain K12) GN=glnL PE=1 SV=1	5	227.09	38514.26871	15
P77475	yqaB	Phosphatase YqaB OS=Escherichia coli (strain K12) GN=yqaB PE=1 SV=1	5	222.7	20748.53598	345
P0AD68	ftsI	Peptidoglycan synthase ftsI OS=Escherichia coli (strain K12) GN=ftsI PE=1 SV=1	5	213.82	63819.49979	26
P0A6A8	acpP	Acyl carrier protein OS=Escherichia coli (strain K12) GN=acpP PE=1 SV=2	4	221.98	8616.21013	45220
P0ADZ4	rpsO	30S ribosomal protein S15 OS=Escherichia coli (strain K12) GN=rpsO PE=1 SV=2	4	413.65	10244.49567	60729
P64581	yqjD	Uncharacterized protein yqjD OS=Escherichia coli (strain K12) GN=yqjD PE=4 SV=1	4	297.36	11026.85535	7755
P77717	ybaY	Uncharacterized lipoprotein ybaY OS=Escherichia coli (strain K12) GN=ybaY PE=1 SV=1	4	315.42	19401.25324	1904
P75694	yahO	Uncharacterized protein YahO OS=Escherichia coli (strain K12) GN=yahO PE=3 SV=1	4	271.84	9871.13374	1885
P0A7M6	rpmC	50S ribosomal protein L29 OS=Escherichia coli (strain K12) GN=rpmC PE=1 SV=1	4	372.37	7250.97238	119802
P0A9Y6	cspC	Cold shock-like protein CspC OS=Escherichia coli (strain K12) GN=cspC PE=1 SV=2	4	345.96	7379.75048	117057
P0ACF4	hupB	DNA-binding protein HU-beta OS=Escherichia coli (strain K12) GN=hupB PE=1 SV=1	4	301.23	9201.98388	80032
P25738	msyB	Acidic protein msyB OS=Escherichia coli (strain K12) GN=msyB PE=4 SV=1	4	283.8	14232.26887	1792
P0AET2	hdeB	Protein hdeB OS=Escherichia coli (strain K12) GN=hdeB PE=1 SV=1	4	131.11	12016.98866	457
P0A7L8	rpmA	50S ribosomal protein L27 OS=Escherichia coli (strain K12) GN=rpmA PE=1 SV=2	4	178.36	9100.87084	59704
P0A7N9	rpmG	50S ribosomal protein L33 OS=Escherichia coli (strain K12) GN=rpmG PE=1 SV=2	4	324.7	6349.6092	66457
P0A7N4	rpmF	50S ribosomal protein L32 OS=Escherichia coli (strain K12) GN=rpmF PE=1 SV=2	4	368.52	6424.42095	68790
P0AG63	rpsQ	30S ribosomal protein S17 OS=Escherichia coli (strain K12) GN=rpsQ PE=1 SV=2	4	342.47	9680.27267	28222
P68206	yjbJ	UPF0337 protein yjbJ OS=Escherichia coli (strain K12) GN=yjbJ PE=1 SV=1	4	158.23	8302.08165	1729
P0AAA1	yagU	Inner membrane protein yagU OS=Escherichia coli (strain K12) GN=yagU PE=1 SV=1	4	264.36	22933.93416	1554
P77173	zipA	Cell division protein ZipA OS=Escherichia coli (strain K12) GN=zipA PE=1 SV=3	4	301.51	36434.29823	1587
P0AFX0	hpf	Probable sigma(54) modulation protein OS=Escherichia coli (strain K12) GN=yhbH PE=1 SV=1	4	310.28	10725.60191	1991
P0AG59	rpsN	30S ribosomal protein S14 OS=Escherichia coli (strain K12) GN=rpsN PE=1 SV=2	4	296.13	11555.25364	22731
P0A742	mscL	Large-conductance mechanosensitive channel OS=Escherichia coli (strain K12) GN=mscL PE=1 SV=1	4	495.61	14929.15587	1658
P0A7L3	rplT	50S ribosomal protein L20 OS=Escherichia coli (strain K12) GN=rplT PE=1 SV=2	4	230.63	13470.66136	11237
P37128	nudK	GDP-mannose pyrophosphatase nudK OS=Escherichia coli (strain K12) GN=nudK PE=1 SV=2	4	178.09	21717.06677	5183
P0A8R0	rraA	Regulator of ribonuclease activity A OS=Escherichia coli (strain K12) GN=rraA PE=1 SV=1	4	250.71	17331.58603	1921
P77454	glsA	Glutaminase 1 OS=Escherichia coli (strain K12) GN=glsA1 PE=1 SV=1	4	568.5	32864.53833	47
P0AB55	yciI	Protein yciI OS=Escherichia coli (strain K12) GN=yciI PE=1 SV=1	4	130.8	10577.40472	1702
P0ACX3	ydhR	Putative monooxygenase ydhR OS=Escherichia coli (strain K12) GN=ydhR PE=1 SV=1	4	280.56	11262.77341	2070
P0AB14	yccJ	Uncharacterized protein yccJ OS=Escherichia coli (strain K12) GN=yccJ PE=4 SV=1	4	167.74	8501.16875	4132
P69222	infA	Translation initiation factor IF-1 OS=Escherichia coli (strain K12) GN=infA PE=1 SV=2	4	271.54	8226.3118	9064
P0AEB7	yoaB	RutC family protein yoaB OS=Escherichia coli (strain K12) GN=yoaB PE=3 SV=1	4	160.35	12467.33865	1764
P0AB38	lpoB	Penicillin-binding protein activator LpoB OS=Escherichia coli (strain K12) GN=lpoB PE=1 SV=1	4	313.45	22483.39362	843
P0ADZ0	rplW	50S ribosomal protein L23 OS=Escherichia coli (strain K12) GN=rplW PE=1 SV=1	4	148.8	11174.21232	4678
P0AF50	yjbR	Uncharacterized protein yjbR OS=Escherichia coli (strain K12) GN=yjbR PE=1 SV=1	4	207.12	13492.97324	592
P0AB52	ychN	Protein ychN OS=Escherichia coli (strain K12) GN=ychN PE=1 SV=1	4	337.48	12666.68706	2386
P0AAF6	artP	Arginine transport ATP-binding protein ArtP OS=Escherichia coli (strain K12) GN=artP PE=1 SV=1	4	385.47	26986.97225	853
P0AB26	yceB	Uncharacterized lipoprotein yceB OS=Escherichia coli (strain K12) GN=yceB PE=1 SV=1	4	254.98	20468.68601	567
P0ADC1	lptE	LPS-assembly lipoprotein lptE OS=Escherichia coli (strain K12) GN=lptE PE=1 SV=1	4	207.07	21325.06865	368
P10100	rlpA	Rare lipoprotein A OS=Escherichia coli (strain K12) GN=rlpA PE=1 SV=1	4	250.85	37486.83992	727
P0A972	cspE	Cold shock-like protein CspE OS=Escherichia coli (strain K12) GN=cspE PE=1 SV=2	4	223.44	7440.80325	43365
P63417	yhbS	Uncharacterized N-acetyltransferase YhbS OS=Escherichia coli (strain K12) GN=yhbS PE=3 SV=1	4	267.91	18504.27117	1170
P0A9T4	tas	Protein tas OS=Escherichia coli (strain K12) GN=tas PE=1 SV=1	4	222.89	38457.6131	241
P0AER0	glpF	Glycerol uptake facilitator protein OS=Escherichia coli (strain K12) GN=glpF PE=1 SV=1	4	165.43	29742.55109	629
P0A8I5	trmB	tRNA (guanine-N(7)-)-methyltransferase OS=Escherichia coli (strain K12) GN=trmB PE=1 SV=1	4	173.82	27271.69709	895
P10908	ugpQ	Glycerophosphoryl diester phosphodiesterase OS=Escherichia coli (strain K12) GN=ugpQ PE=1 SV=1	4	283.56	27374.04865	181
P0ADS2	zapA	Cell division protein ZapA OS=Escherichia coli (strain K12) GN=zapA PE=1 SV=1	4	323.51	12568.40402	1232
P0AGG2	tesB	Acyl-CoA thioesterase 2 OS=Escherichia coli (strain K12) GN=tesB PE=1 SV=2	4	208.68	31928.35792	273
P0AB65	yccX	Acylphosphatase OS=Escherichia coli (strain K12) GN=yccX PE=1 SV=1	4	222.45	10275.2359	153
P0A6Z6	nikR	Nickel-responsive regulator OS=Escherichia coli (strain K12) GN=nikR PE=1 SV=1	4	422.5	15066.51645	642
P37774	yecC	Uncharacterized amino-acid ABC transporter ATP-binding protein YecC OS=Escherichia coli (strain K12) GN=yecC PE=3 SV=2	4	210.78	27641.8973	160
P39176	erfK	Probable L,D-transpeptidase ErfK/SrfK OS=Escherichia coli (strain K12) GN=erfK PE=1 SV=2	4	407.55	34371.6386	74
P0A8G9	xseB	Exodeoxyribonuclease 7 small subunit OS=Escherichia coli (strain K12) GN=xseB PE=1 SV=2	4	208.62	8928.51546	1353
P0AA91	yeaY	Uncharacterized lipoprotein yeaY OS=Escherichia coli (strain K12) GN=yeaY PE=4 SV=1	4	201.64	20889.78297	108
P32662	gph	Phosphoglycolate phosphatase OS=Escherichia coli (strain K12) GN=gph PE=1 SV=1	4	299.9	27353.99481	882
P0A8K5	yaeP	UPF0253 protein yaeP OS=Escherichia coli (strain K12) GN=yaeP PE=1 SV=1	4	263.94	7191.57041	2418
P0AC84	gloB	Hydroxyacylglutathione hydrolase OS=Escherichia coli (strain K12) GN=gloB PE=1 SV=1	4	253.41	28398.34858	278
P0AAN5	yaiA	Uncharacterized protein yaiA OS=Escherichia coli (strain K12) GN=yaiA PE=1 SV=1	4	166.34	7258.62835	252
P0AGF2	csdE	Uncharacterized sufE-like protein ygdK OS=Escherichia coli (strain K12) GN=ygdK PE=1 SV=1	4	181.99	15912.30672	222
P07762	glgB	1,4-alpha-glucan-branching enzyme OS=Escherichia coli (strain K12) GN=glgB PE=1 SV=1	4	177	84265.77174	105
P0ABU9	tolQ	Protein tolQ OS=Escherichia coli (strain K12) GN=tolQ PE=1 SV=1	4	242.35	25563.37328	378
P63228	gmhB	D,D-heptose 1,7-bisphosphate phosphatase OS=Escherichia coli (strain K12) GN=gmhB PE=1 SV=1	4	148.27	21262.52226	297
P0AEM0	fkpB	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) GN=fkpB PE=1 SV=2	4	360.26	16052.92141	2785
P08179	purN	Phosphoribosylglycinamide formyltransferase OS=Escherichia coli (strain K12) GN=purN PE=1 SV=1	4	262.84	23205.81467	542
P75915	ycdY	Uncharacterized protein ycdY OS=Escherichia coli (strain K12) GN=ycdY PE=3 SV=1	4	340.76	20693.05671	538
P23894	htpX	Protease HtpX OS=Escherichia coli (strain K12) GN=htpX PE=1 SV=1	4	184.81	31884.55363	539
P0A8W0	nanR	Transcriptional regulator nanR OS=Escherichia coli (strain K12) GN=nanR PE=3 SV=1	4	251.29	29488.0806	202
P0A884	thyA	Thymidylate synthase OS=Escherichia coli (strain K12) GN=thyA PE=1 SV=1	4	170.18	30442.15787	728
P77202	dsbG	Thiol:disulfide interchange protein DsbG OS=Escherichia coli (strain K12) GN=dsbG PE=1 SV=2	4	158.36	27459.24651	203
P36929	rsmB	Ribosomal RNA small subunit methyltransferase B OS=Escherichia coli (strain K12) GN=rsmB PE=1 SV=2	4	353.13	48299.01648	203
P0AGE4	sstT	Serine/threonine transporter sstT OS=Escherichia coli (strain K12) GN=sstT PE=1 SV=1	4	172.36	43431.39854	120
P39315	qorB	Quinone oxidoreductase 2 OS=Escherichia coli (strain K12) GN=qorB PE=1 SV=1	4	250.81	29697.29065	131
P0A9I3	gcvR	Glycine cleavage system transcriptional repressor OS=Escherichia coli (strain K12) GN=gcvR PE=1 SV=2	4	190.11	20737.48421	214
P0A9E5	fnr	Fumarate and nitrate reduction regulatory protein OS=Escherichia coli (strain K12) GN=fnr PE=1 SV=1	4	297.69	27931.33827	1101
P40191	pdxK	Pyridoxine kinase OS=Escherichia coli (strain K12) GN=pdxK PE=1 SV=2	4	236.41	30810.14428	222
P31433	yicH	Uncharacterized protein yicH OS=Escherichia coli (strain K12) GN=yicH PE=4 SV=2	4	266.43	62216.07131	129
P76243	yeaO	Uncharacterized protein yeaO OS=Escherichia coli (strain K12) GN=yeaO PE=1 SV=2	4	266.18	13359.93617	198
P62623	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase OS=Escherichia coli (strain K12) GN=ispH PE=1 SV=1	4	238.28	34734.93615	430
P0ADE4	tamA	Uncharacterized protein ytfM OS=Escherichia coli (strain K12) GN=ytfM PE=1 SV=1	4	189.9	64738.07628	60
Q47690	mmuM	Homocysteine S-methyltransferase OS=Escherichia coli (strain K12) GN=mmuM PE=1 SV=2	4	161.71	33383.85831	45
P77376	ydgJ	Uncharacterized oxidoreductase ydgJ OS=Escherichia coli (strain K12) GN=ydgJ PE=1 SV=2	4	186.86	38215.63903	43
P76329	yedP	Putative mannosyl-3-phosphoglycerate phosphatase OS=Escherichia coli (strain K12) GN=yedP PE=1 SV=1	4	432.05	30402.39167	42
P0AAS7	ybcJ	Uncharacterized protein ybcJ OS=Escherichia coli (strain K12) GN=ybcJ PE=1 SV=1	4	176.96	7366.85319	307
P66817	diaA	DnaA initiator-associating protein diaA OS=Escherichia coli (strain K12) GN=diaA PE=1 SV=1	4	277.33	21074.66913	285
P18196	minC	Septum site-determining protein minC OS=Escherichia coli (strain K12) GN=minC PE=1 SV=1	4	167.93	24741.87589	163
P52007	yecM	Protein yecM OS=Escherichia coli (strain K12) GN=yecM PE=1 SV=3	4	257.8	21173.77695	352
P0ADP2	yigI	Uncharacterized protein yigI OS=Escherichia coli (strain K12) GN=yigI PE=4 SV=1	4	139.2	17133.75136	231
P0AGI8	trkA	Trk system potassium uptake protein trkA OS=Escherichia coli (strain K12) GN=trkA PE=1 SV=1	4	262.49	50318.37257	137
P0A7I0	prfA	Peptide chain release factor 1 OS=Escherichia coli (strain K12) GN=prfA PE=1 SV=1	4	259.39	40474.19405	374
P0AAD6	sdaC	Serine transporter OS=Escherichia coli (strain K12) GN=sdaC PE=1 SV=1	4	258.55	46856.86755	2738
P0AGB0	serB	Phosphoserine phosphatase OS=Escherichia coli (strain K12) GN=serB PE=1 SV=1	4	201.01	35002.29891	225
P0AE82	cpxA	Sensor protein CpxA OS=Escherichia coli (strain K12) GN=cpxA PE=1 SV=1	4	235.68	51573.93701	50
P21338	rna	Ribonuclease I OS=Escherichia coli (strain K12) GN=rna PE=1 SV=1	4	135.8	29580.708	98
P0A725	lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase OS=Escherichia coli (strain K12) GN=lpxC PE=3 SV=1	4	231.03	33916.22523	133
P0ACV8	ymjA	Uncharacterized protein ymjA OS=Escherichia coli (strain K12) GN=ymjA PE=4 SV=1	4	338.31	9297.38439	175
P77781	ydiI	Esterase YdiI OS=Escherichia coli (strain K12) GN=ydiI PE=1 SV=1	4	341.86	14917.66901	230
P07117	putP	Sodium/proline symporter OS=Escherichia coli (strain K12) GN=putP PE=1 SV=1	4	196.34	54290.62984	364
P0A8J4	ybeD	UPF0250 protein ybeD OS=Escherichia coli (strain K12) GN=ybeD PE=1 SV=1	4	414.11	9803.11355	9771
P39310	ytfB	Uncharacterized protein ytfB OS=Escherichia coli (strain K12) GN=ytfB PE=4 SV=2	4	186.12	23472.89561	222
Q47147	yafJ	Putative glutamine amidotransferase yafJ OS=Escherichia coli (strain K12) GN=yafJ PE=4 SV=1	4	204.27	28599.20568	48
D0EX67	nagZ	Beta-hexosaminidase 2 OS=Escherichia coli (strain K12) GN=nagZ2 PE=3 SV=1	4	245.99	37552.86975	197
P0A6E1	aroL	Shikimate kinase 2 OS=Escherichia coli (strain K12) GN=aroL PE=1 SV=3	4	313.91	19120.78656	356
P0AA89	dosC	Diguanylate cyclase DosC OS=Escherichia coli (strain K12) GN=dosC PE=1 SV=1	4	197.68	53126.63208	13
Q93K97	nudF	ADP-ribose pyrophosphatase OS=Escherichia coli (strain K12) GN=nudF PE=1 SV=2	4	273.04	23634.09928	179
Q46893	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase OS=Escherichia coli (strain K12) GN=ispD PE=1 SV=3	4	216.4	25703.19589	140
P0A6G3	pncC	Protein YgaD OS=Escherichia coli (strain K12) GN=ygaD PE=1 SV=1	4	177.7	17552.71915	152
P0ADV5	yhbW	Uncharacterized protein yhbW OS=Escherichia coli (strain K12) GN=yhbW PE=4 SV=1	4	216.36	37087.72888	135
P0AAC8	iscA	Iron-binding protein iscA OS=Escherichia coli (strain K12) GN=iscA PE=1 SV=1	4	178.35	11530.68237	1953
P24205	msbB	Lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase OS=Escherichia coli (strain K12) GN=msbB PE=1 SV=1	4	131.64	37368.31401	137
P22634	murI	Glutamate racemase OS=Escherichia coli (strain K12) GN=murI PE=1 SV=2	4	138.67	30964.21429	186
P37765	rluB	Ribosomal large subunit pseudouridine synthase B OS=Escherichia coli (strain K12) GN=rluB PE=1 SV=2	4	234.74	32673.39599	294
